old_links,page_path_2
budget/actuals_capital_FY18_datasd.csv,/capital-actuals-fy/
budget/actuals_capital_ptd_FY18_datasd.csv,/capital-actuals-ptd/
budget/actuals_operating_FY18_datasd.csv,/operating-actuals/
budget/budget_capital_FY11_datasd.csv,/capital-budget-fy/
budget/budget_capital_FY12_datasd.csv,/capital-budget-fy/
budget/budget_capital_FY13_datasd.csv,/capital-budget-fy/
budget/budget_capital_FY14_datasd.csv,/capital-budget-fy/
budget/budget_capital_FY15_datasd.csv,/capital-budget-fy/
budget/budget_capital_FY16_datasd.csv,/capital-budget-fy/
budget/budget_capital_FY17_datasd.csv,/capital-budget-fy/
budget/budget_capital_FY18_datasd.csv,/capital-budget-fy/
budget/budget_capital_FY18_prop_datasd.csv,/capital-budget-fy/
budget/budget_capital_FY19_datasd.csv,/capital-budget-fy/
budget/budget_capital_FY19_prop_datasd.csv,/capital-budget-fy/
budget/budget_capital_ptd_FY11_datasd.csv,/capital-budget-ptd/
budget/budget_capital_ptd_FY12_datasd.csv,/capital-budget-ptd/
budget/budget_capital_ptd_FY13_datasd.csv,/capital-budget-ptd/
budget/budget_capital_ptd_FY14_datasd.csv,/capital-budget-ptd/
budget/budget_capital_ptd_FY15_datasd.csv,/capital-budget-ptd/
budget/budget_capital_ptd_FY16_datasd.csv,/capital-budget-ptd/
budget/budget_capital_ptd_FY17_datasd.csv,/capital-budget-ptd/
budget/budget_operating_FY11_datasd.csv,/operating-budget/
budget/budget_operating_FY12_datasd.csv,/operating-budget/
budget/budget_operating_FY13_datasd.csv,/operating-budget/
budget/budget_operating_FY14_datasd.csv,/operating-budget/
budget/budget_operating_FY15_datasd.csv,/operating-budget/
budget/budget_operating_FY16_datasd.csv,/operating-budget/
budget/budget_operating_FY17_datasd.csv,/operating-budget/
budget/budget_operating_FY18_datasd.csv,/operating-budget/
budget/budget_operating_FY18_prop_datasd.csv,/operating-budget/
budget/budget_operating_FY19_datasd.csv,/operating-budget/
budget/budget_operating_FY19_prop_datasd.csv,/operating-budget/
budget/financial_support_datasd.csv,/financial-support-candidates-and-ballot-measures-election/
budget/operating_actuals_FY17_datasd.csv,/operating-actuals/
campaign_fin/financial_support_datasd.csv,/financial-support-candidates-and-ballot-measures-election/
